  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828511615333423e-17, 1,              4683.230626635841, -4.7232609690278411e-08, 0,              -1.0790071231256192e-21, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828607280458005e-17, 7,              4683.3220445367342, -4.7087778402852417e-08, -9.5665124530753707e-23, -1.075882045152743e-21, 3.7800408840994835e-26, 0.0037339257819787807, 0.0037339257819787807, 0.0037339257819787807, -1.2795989065057938e-18, 199.99997718231697, 0,              199.99997718231697, 0,              -3.1992026167347501e-17, 1.3444093637640035e-17, 1,              1,              0,              0.99975081772960961, 0.019993735195206589, 0.0099273652081535036, 0.99975110346413021, 0.01999548440836427, 0.0098949606518029028, 2.0285142367255665e-15, 2.0285142367255665e-15
  -1.9828987003112371e-17, 13,             4683.6787258108179, -4.6508478196839117e-08, -3.7972265436349158e-22, -1.0636285801252825e-21, 9.4496608019748191e-25, 0.018667308067152857, 0.018667308067152857, 0.018667308067152857, -1.2792831427768179e-18, 199.99942955870455, 0,              199.99942955870455, 0,              -3.1992117010630795e-17, 1.3443475833909287e-17, 2,              2,              0,              0.9997536565822116, 0.019988856118232687, 0.0096468250466798713, 0.99975501973648873, 0.019997551401593219, 0.0094848020602991984, 8.114056946902266e-15, 1.0142571183627832e-14
  -1.9830458890589164e-17, 19,             4684.9611949280497, -4.4191333221758359e-08, -1.4718874767954396e-21, -1.0185645195225459e-21, 1.6665910705645017e-23, 0.078362020395032483, 0.078362020395032483, 0.078362020395032483, -1.2781655507487597e-18, 199.98993765433335, 0,              199.98993765433335, 0,              -3.199245108632256e-17, 1.3441159645090972e-17, 3,              3,              0,              0.99976409644757991, 0.019972341573472753, 0.00852472849910022, 0.99976872097025726, 0.020008008658258501, 0.0078442290436757586, 3.2456227787609064e-14, 4.2598798971236893e-14
  -1.9835593595703414e-17, 25,             4687.7583095490827, -3.4901727244170303e-08, -5.1347051142449144e-21, -9.0149139026860764e-22, 2.7277951752883854e-22, 0.31641235953424107, 0.31641235953424107, 0.31641235953424107, -1.2760213146319541e-18, 199.83521015705423, 0,              199.83521015705423, 0,              -3.1993318839218982e-17, 1.3434375270020262e-17, 4,              4,              0,              0.99979121372559288, 0.01995427434980528, 0.0040386491637530234, 0.99979211418290093, 0.020084835384557208, 0.0012842335345615533, 1.2982491115043626e-13, 1.7242371012167314e-13
  -1.984379850364998e-17, 31,             4671.3569945498884, 3.9576110646354165e-09, -8.2049079465727484e-21, -1.4357175957948296e-21, 4.3617038503238381e-21, 1.2535994349154966, 1.2535994349154966, 1.2535994349154966, -1.3039003172895884e-18, 197.36425878905024, 0,              197.36425878905024, 0,              -3.1989355834090451e-17, 1.3446531661475531e-17, 5,              5,              0,              0.99966736981532567, 0.020645523746450633, -0.013787224139733531, 0.99938643696136653, 0.020949169630509853, -0.02483531655341005, 5.1929964460174502e-13, 6.9172335472341811e-13
  -1.9626559596106157e-17, 37,             4432.5313042176858, 2.3521942950312572e-07, 2.1723890754382227e-19, -1.6851959446614178e-20, 6.3531569296391058e-20, 4.5821683805064417, 4.5821683805064417, 4.5821683805064417, -1.7915286733330336e-18, 162.87270352090155, 0,              162.87270352090155, 0,              -3.1873847828530749e-17, 1.3992137295907845e-17, 6,              6,              0,              0.99605774464158603, 0.034373636485055765, -0.077118548177470103, 0.99091104563007792, 0.032488497972250861, -0.12044260754270816, 2.0297429909842111e-12, 2.7214663457076294e-12
  -1.8717491161261561e-17, 43,             3716.1131067167221, 5.6169236431989755e-07, 9.0906843484460439e-19, -4.6998592254689546e-20, 1.890107765151e-19, 8.997719111432172, 8.997719111432172, 8.997719111432172, -2.1238600023865606e-18, 101.09847529507176, 0,              101.09847529507176, 0,              -3.1641336155992125e-17, 1.4905692812856714e-17, 7,              7,              0,              0.98879175487475357, 0.065649481736363507, -0.12492354070633575, 0.97341747967037962, 0.058053979169070374, -0.20344667400114161, 2.2389740592184255e-12, 4.9604404049260549e-12
  -1.7328015534208383e-17, 49,             3086.4081656739409, 6.2766729381588234e-07, 1.389475627053174e-18, -7.7401239125384718e-20, 3.4524359692666332e-19, 12.510278227712002, 12.510278227712002, 12.510278227712002, -1.6201094337406686e-18, 47.826520402004071, 0,              47.826520402004071, 0,              -3.1397214905646589e-17, 1.5421466447377597e-17, 8,              8,              0,              0.98116296580145657, 0.10585846383730314, -0.14622050079368495, 0.95383157845253375, 0.092817283171402698, -0.25938014589935027, 2.2230776440603005e-12, 7.1835180489863553e-12
  -1.6143547539269864e-17, 55,             2787.7950822462722, 4.0885941585887046e-07, 1.1844679949385182e-18, -1.0512595815179602e-19, 5.0370722772595449e-19, 14.457599443521678, 14.457599443521678, 14.457599443521678, -8.1529801073828772e-19, 17.157365147646775, 0,              17.157365147646775, 0,              -3.1164066516351858e-17, 1.5437235718246123e-17, 9,              9,              0,              0.97387707863599504, 0.14849636069595409, -0.14814716758193014, 0.93463180365223741, 0.13353187536359296, -0.29565092907234641, 2.2280440946787978e-12, 9.4115621436651536e-12
