  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828447474354436e-17, 1,              4683.0617059518136, -4.7225657782334654e-08, 0,              -1.0148661441398185e-21, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828543128820648e-17, 7,              4683.1530948374875, -4.7080820086210152e-08, -9.5654466164007108e-23, -1.0119267166372898e-21, 3.7803135623407548e-26, 0.0037340604595096781, 0.0037340604595096781, 0.0037340604595096781, -1.2795987138286004e-18, 199.99997718067081, 0,              199.99997718067081, 0,              -3.1992026168278604e-17, 1.3444093642200056e-17, 1,              1,              0,              0.99975081775870556, 0.019993732184789694, 0.0099273683393412554, 0.9997511035035016, 0.019995481465891019, 0.0098949626145286053, 2.0285874063812195e-15, 2.0285874063812195e-15
  -1.9828922808607042e-17, 13,             4683.5096581542475, -4.6501494724177508e-08, -3.7967978638535525e-22, -1.000401179609048e-21, 9.450342227567146e-25, 0.018667981215179159, 0.018667981215179159, 0.018667981215179159, -1.2792821919196625e-18, 199.99942951755159, 0,              199.99942951755159, 0,              -3.1992117015287884e-17, 1.3443475854745892e-17, 2,              2,              0,              0.99975365672774585, 0.019988841265160231, 0.0096468407012654366, 0.99975501993039062, 0.019997536983380197, 0.0094848118803218268, 8.1143496255248779e-15, 1.0142937031906097e-14
  -1.9830394520963882e-17, 19,             4684.79162511701, -4.4184256299563885e-08, -1.4717123568420129e-21, -9.5801403341370461e-22, 1.6667110620722488e-23, 0.07836484284281961, 0.07836484284281961, 0.07836484284281961, -1.2781617677701254e-18, 199.9899369284295, 0,              199.9899369284295, 0,              -3.1992451105913618e-17, 1.3441159699642654e-17, 3,              3,              0,              0.99976409705980007, 0.019972282533951023, 0.0085247942349233451, 0.99976872173526177, 0.020007953043673862, 0.0078442704033128714, 3.2457398502099512e-14, 4.2600335534005606e-14
  -1.9835528472521175e-17, 25,             4687.5862478071995, -3.4894360174004605e-08, -5.1339515572957474e-21, -8.4789257195376717e-22, 2.7279898102199517e-22, 0.31642365824672825, 0.31642365824672825, 0.31642365824672825, -1.2760094178458421e-18, 199.83519827361354, 0,              199.83519827361354, 0,              -3.1993318919353482e-17, 1.3434374958269079e-17, 4,              4,              0,              0.9997912162297965, 0.019954089495828178, 0.0040389156213858938, 0.99979211649891786, 0.020084690280958706, 0.0012844033385361517, 1.2982959400839805e-13, 1.7242992954240365e-13
  -1.9843729505776738e-17, 31,             4671.2228007175281, 3.9667688822185674e-09, -8.2010332555651018e-21, -1.3503266966841374e-21, 4.361990395709519e-21, 1.2536388870639779, 1.2536388870639779, 1.2536388870639779, -1.3039067869318934e-18, 197.36406989885748, 0,              197.36406989885748, 0,              -3.1989356192432181e-17, 1.3446521809888312e-17, 5,              5,              0,              0.9996673810135055, 0.02064564594381495, -0.013786110652593383, 0.99938643539907823, 0.020949866272896658, -0.024834563461159684, 5.1931837603359219e-13, 6.9174830557599582e-13
  -1.9626469398604862e-17, 37,             4432.4373259914728, 2.352821187721208e-07, 2.1726010717187663e-19, -1.5846295280926736e-20, 6.3517690817436535e-20, 4.5816447470367798, 4.5816447470367798, 4.5816447470367798, -1.7920725215106386e-18, 162.87807010172898, 0,              162.87807010172898, 0,              -3.187387931091088e-17, 1.3991811038280146e-17, 6,              6,              0,              0.99605872846596455, 0.034382938269240326, -0.077102704813042156, 0.99091308685460833, 0.032506869113189028, -0.1204230412517929, 2.0294996961525075e-12, 2.7212480017285033e-12
  -1.8717182956388421e-17, 43,             3716.309237242162, 5.6196270372408008e-07, 9.0928644221643625e-19, -4.4193261730252408e-20, 1.8893798042418042e-19, 8.9958426878832913, 8.9958426878832913, 8.9958426878832913, -2.1250998404503246e-18, 101.11389260344295, 0,              101.11389260344295, 0,              -3.1641433292787222e-17, 1.49046054581552e-17, 7,              7,              0,              0.9887947903996005, 0.065677789969497705, -0.12488808681565727, 0.97342463941469348, 0.058110830873661021, -0.20340253818490503, 2.2386380080425889e-12, 4.9598860097710923e-12
  -1.7327029308565427e-17, 49,             3086.899277206719, 6.280942614799366e-07, 1.3901536478230096e-18, -7.2783459480960489e-20, 3.4506212960360851e-19, 12.50673826489839, 12.50673826489839, 12.50673826489839, -1.6213788884989152e-18, 47.841246686296884, 0,              47.841246686296884, 0,              -3.1397362513619668e-17, 1.5419433423430509e-17, 8,              8,              0,              0.98116757855061476, 0.10590879998974589, -0.14616067628354559, 0.95384355736712645, 0.092922357874139841, -0.25930919223323035, 2.2228591303812873e-12, 7.1827451401523796e-12
  -1.6141746622336405e-17, 55,             2788.3638623832217, 4.0920324768784741e-07, 1.1852826862290159e-18, -9.8852740581585987e-20, 5.0336092526605837e-19, 14.452064869243614, 14.452064869243614, 14.452064869243614, -8.1605463010273669e-19, 17.165665347304522, 0,              17.165665347304522, 0,              -3.1164284676637289e-17, 1.5434084499719149e-17, 9,              9,              0,              0.97388389614491555, 0.14856229965309772, -0.14805088475265729, 0.93464902648453319, 0.1336848605344792, -0.29554184801784417, 2.2278902224767819e-12, 9.4106353626291607e-12
