Time,mx,my,mz
0.0,0.0,0.0,1.0
5.858904748204258e-12,8.708023219039991e-07,4.817564488240869e-07,0.9999999999993896
8.625659406642254e-12,1.0340369969538003e-06,9.348929790207865e-07,0.999999999999037
1e-11,1.0332473218747976e-06,1.1726391184730743e-06,0.9999999999988548
1e-11,1.0332473218747976e-06,1.1726391184730743e-06,0.9999999999988548
1.2810958827071581e-11,8.446737637790989e-07,1.3177098138290172e-06,0.9999999999988328
1.5724317423670412e-11,6.023186688760686e-07,1.3553899994629264e-06,0.9999999999989576
1.865043675908489e-11,3.702250504324292e-07,1.2716255494543665e-06,0.9999999999990852
2e-11,2.8297584350805853e-07,1.1973562744180332e-06,0.9999999999991552
2e-11,2.8297584350805853e-07,1.1973562744180332e-06,0.9999999999991552
2.2917216165176212e-11,-3.59021704680602e-08,7.429010357927101e-07,0.9999999999997848
2.5932966619277962e-11,-1.0144540517260463e-07,1.8247345662631237e-07,0.9999999999999932
2.897798390896628e-11,1.1588736135498853e-07,-3.3002420033803515e-07,0.999999999999966
3e-11,2.4371139190723123e-07,-4.6571440740425e-07,0.9999999999999242
3e-11,2.4371139190723123e-07,-4.6571440740425e-07,0.9999999999999242
3.261366612254211e-11,3.820507414514144e-07,-7.555987225014122e-07,0.9999999999997156
3.532837698015291e-11,6.40949601255282e-07,-9.583329194791266e-07,0.9999999999992244
3.804758290200207e-11,9.633568217138007e-07,-1.0216503961909879e-06,0.9999999999990264
4e-11,1.1963194565092927e-06,-9.736160064967945e-07,0.99999999999886
4e-11,1.1963194565092927e-06,-9.736160064967945e-07,0.99999999999886
4.2729364875750867e-11,1.1984784727650074e-06,-6.793783053629543e-07,0.9999999999990568
4.565085161781176e-11,1.0576977871987715e-06,-4.0699122758465965e-07,0.9999999999992591
4.858696439075309e-11,8.053100063428498e-07,-2.4056184371513186e-07,0.9999999999996896
5e-11,6.625452184294929e-07,-2.1103560592066873e-07,0.9999999999997936
5e-11,6.625452184294929e-07,-2.1103560592066873e-07,0.9999999999997936
5.274287542431396e-11,2.2848963669267888e-07,-5.395458381318546e-09,0.9999999999999818
5.558829619473949e-11,-2.702111238890633e-07,-2.4717359363723903e-08,0.99999999999996
5.845920301486417e-11,-7.092252647064144e-07,-2.752212693260431e-07,0.9999999999997422
6e-11,-8.822430007283592e-07,-4.856462673965793e-07,0.9999999999994424
6e-11,-8.822430007283592e-07,-4.856462673965793e-07,0.9999999999994424
6.240335909370544e-11,-1.005233838453662e-06,-6.212680206458127e-07,0.9999999999991768
6.49096031890324e-11,-1.068508695860247e-06,-7.991303726755659e-07,0.999999999999062
6.743567948924615e-11,-1.055556613593948e-06,-9.85352450052423e-07,0.9999999999989534
6.933541583570918e-11,-9.965648978013905e-07,-1.1105213570013856e-06,0.9999999999988723
7e-11,-9.67052471484442e-07,-1.1486254247201207e-06,0.9999999999988582
7e-11,-9.67052471484442e-07,-1.1486254247201207e-06,0.9999999999988582
7.243046200553686e-11,-6.5319377376309e-07,-1.0581440024389376e-06,0.9999999999991396
7.497035157102064e-11,-3.9158128172840795e-07,-8.399512879874755e-07,0.9999999999994806
7.750733896632229e-11,-2.4294160988551e-07,-5.376645079483585e-07,0.9999999999998292
8e-11,-2.301969667637352e-07,-2.1314433745553485e-07,0.999999999999952
8e-11,-2.301969667637352e-07,-2.1314433745553485e-07,0.999999999999952
8.227598541847001e-11,-9.227042824419738e-08,1.0832868736415649e-07,0.999999999999958
8.465077943346119e-11,-8.487759366786424e-08,4.6775573464576504e-07,0.9999999999998967
8.703785738787462e-11,-2.1731246736671405e-07,7.972096929268981e-07,0.999999999999671
8.897092439954978e-11,-4.1244454621061054e-07,1.0046269964990786e-06,0.9999999999992832
9.000000000000001e-11,-5.409008013677337e-07,1.0849168323109293e-06,0.9999999999991428
9.000000000000001e-11,-5.409008013677337e-07,1.0849168323109293e-06,0.9999999999991428
9.202329747186205e-11,-6.268664245725722e-07,1.0776802302457536e-06,0.9999999999991241
9.413710927445787e-11,-7.087714039769212e-07,1.0408917854116123e-06,0.9999999999991248
9.624367626722099e-11,-7.73298193809794e-07,9.796286373931956e-07,0.99999999999914
9.83468414095285e-11,-8.1376983932786e-07,9.017143879276371e-07,0.999999999999178
