Time,mx,my,mz
0.0,0.0,0.0,1.0
6.66545487917257e-12,1.1482998321295445e-06,2.654792805161416e-07,0.9999999999992296
1e-11,1.6640018647684415e-06,5.755230871520315e-07,0.9999999999983276
1e-11,1.6640018647684415e-06,5.755230871520315e-07,0.9999999999983276
1.3343594799179017e-11,2.037653126898874e-06,6.325588606872289e-07,0.9999999999977967
1.674615143941183e-11,2.401633816934452e-06,7.704800846256823e-07,0.999999999996858
2e-11,2.7188560876914173e-06,9.709030913849299e-07,0.9999999999957963
2e-11,2.7188560876914173e-06,9.709030913849299e-07,0.9999999999957963
2.306466817163805e-11,2.7301807073639117e-06,9.89706005202425e-07,0.9999999999956928
2.6191436754989356e-11,2.739531326980373e-06,1.00828601144118e-06,0.999999999995616
2.8711762088559148e-11,2.745735891423944e-06,1.0226475804703233e-06,0.9999999999955655
3e-11,2.7485061834258248e-06,1.0297665273133517e-06,0.9999999999955432
3e-11,2.7485061834258248e-06,1.0297665273133517e-06,0.9999999999955432
3.3251760951929404e-11,2.4016193127387205e-06,1.0056721174917328e-06,0.9999999999964372
3.6567532785844426e-11,2.059008452662832e-06,9.045048153492201e-07,0.9999999999972852
3.909730016255041e-11,1.8150839431887588e-06,7.791235586889059e-07,0.9999999999978374
4e-11,1.733127600449514e-06,7.251282440584268e-07,0.99999999999803
4e-11,1.733127600449514e-06,7.251282440584268e-07,0.99999999999803
4.316618993728423e-11,1.17128062031439e-06,6.686748161817307e-07,0.9999999999988916
4.6394629275352e-11,6.162547726207761e-07,4.94115649465176e-07,0.9999999999994796
4.89303103610447e-11,2.082990322949261e-07,2.800273663792604e-07,0.9999999999997764
5e-11,4.646523350940195e-08,1.7106059761328258e-07,0.9999999999998122
5e-11,4.646523350940195e-08,1.7106059761328258e-07,0.9999999999998122
5.3092721317184016e-11,-5.175456423123957e-07,1.036035839619872e-07,0.9999999999996924
5.625150468592815e-11,-1.0765552528685847e-06,-7.781692277798279e-08,0.9999999999991888
5.879259662919551e-11,-1.4987260327861185e-06,-3.008237361856891e-07,0.9999999999986076
6e-11,-1.687249117744991e-06,-4.2895965225724614e-07,0.9999999999982364
6e-11,-1.687249117744991e-06,-4.2895965225724614e-07,0.9999999999982364
6.285969032090427e-11,-2.0292601087982484e-06,-4.820243136336479e-07,0.9999999999975524
6.579044435337653e-11,-2.3705227131162075e-06,-5.977587718085658e-07,0.9999999999967067
6.873968206390111e-11,-2.6930496655730906e-06,-7.730868133489114e-07,0.9999999999957286
7e-11,-2.8217560452043204e-06,-8.646341551087877e-07,0.9999999999952712
7e-11,-2.8217560452043204e-06,-8.646341551087877e-07,0.9999999999952712
7.251335517844979e-11,-2.851513300721589e-06,-8.946722696177733e-07,0.999999999995118
7.509473041829365e-11,-2.87959692839438e-06,-9.274635153418464e-07,0.9999999999949516
7.767867894268427e-11,-2.904742675190813e-06,-9.621288796664274e-07,0.999999999994804
8e-11,-2.924352923690978e-06,-9.947182398819948e-07,0.999999999994675
8e-11,-2.924352923690978e-06,-9.947182398819948e-07,0.999999999994675
8.250861545465237e-11,-2.669184323652249e-06,-1.005958335951117e-06,0.999999999995338
8.507435344835943e-11,-2.4089906170608118e-06,-9.726997681231586e-07,0.9999999999960026
8.76698187933143e-11,-2.1537559109675145e-06,-8.949433216259705e-07,0.9999999999966424
9.000000000000001e-11,-1.937090309060621e-06,-7.899227793968709e-07,0.9999999999971656
