  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828401516643637e-17, 1,              4682.9406729768416, -4.7220677109074288e-08, 0,              -9.6890843334002354e-22, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828497163473438e-17, 7,              4683.0320410723052, -4.7075834820949922e-08, -9.5646829746343375e-23, -9.6610203559549141e-22, 3.78050895655129e-26, 0.0037341569629755311, 0.0037341569629755311, 0.0037341569629755311, -1.279598575764718e-18, 199.99997717949125, 0,              199.99997717949125, 0,              -3.1992026168945795e-17, 1.3444093645467581e-17, 1,              1,              0,              0.99975081777955532, 0.019993730027659199, 0.009927370583017835, 0.9997511035317137, 0.019995479357445892, 0.0098949640209412791, 2.0286398362508106e-15, 2.0286398362508106e-15
  -1.9828876812546109e-17, 13,             4683.3885198692378, -4.6496491433998092e-08, -3.7964907267148236e-22, -9.5509810361837763e-22, 9.4508305195918209e-25, 0.018668463560792145, 0.018668463560792145, 0.018668463560792145, -1.2792815105771027e-18, 199.99942948806242, 0,              199.99942948806242, 0,              -3.1992117018624945e-17, 1.3443475869676504e-17, 2,              2,              0,              0.9997536568320291, 0.019988830622099642, 0.0096468519186678897, 0.99975502006933215, 0.0199975266519248, 0.0094848189169565479, 8.1145593450032422e-15, 1.0143199181254052e-14
  -1.9830348399434058e-17, 19,             4684.6701270216954, -4.4179186050858235e-08, -1.4715868879469076e-21, -9.1462914289548767e-22, 1.6667970448754717e-23, 0.078366865273301473, 0.078366865273301473, 0.078366865273301473, -1.2781590570411668e-18, 199.98993640826552, 0,              199.98993640826552, 0,              -3.1992451119951712e-17, 1.344115973873127e-17, 3,              3,              0,              0.99976409749849093, 0.019972240228626665, 0.0085248413382125725, 0.99976872228342917, 0.020007913192596417, 0.0078443000398085248, 3.2458237380012969e-14, 4.2601436561267021e-14
  -1.983548181108321e-17, 25,             4687.462964132661, -3.4889082034626669e-08, -5.1334116491618759e-21, -8.0948922371491605e-22, 2.7281292802582261e-22, 0.31643175434517329, 0.31643175434517329, 0.31643175434517329, -1.2760008928827498e-18, 199.83518975824614, 0,              199.83518975824614, 0,              -3.199331897677505e-17, 1.3434374734870278e-17, 4,              4,              0,              0.999791218024221, 0.019953957033706282, 0.0040391065504653415, 0.99979211815848723, 0.020084586303675878, 0.0012845250107185752, 1.2983294952005188e-13, 1.724343860813189e-13
  -1.9843680068155988e-17, 31,             4671.1266509638399, 3.973330041093669e-09, -8.1982570727745859e-21, -1.2891467169049707e-21, 4.3621957198857472e-21, 1.2536671555720578, 1.2536671555720578, 1.2536671555720578, -1.3039114185538294e-18, 197.36393454511628, 0,              197.36393454511628, 0,              -3.1989356449216932e-17, 1.344651475061179e-17, 5,              5,              0,              0.99966738903802832, 0.020645733438442594, -0.013785312791838467, 0.99938643428019824, 0.02095036541159059, -0.024834023817391582, 5.193317980802075e-13, 6.9176618416152642e-13
  -1.9626404810264541e-17, 37,             4432.3699700378529, 2.3532699242454564e-07, 2.1727525789144098e-19, -1.512602967541678e-20, 6.3507746915767974e-20, 4.5812695202402285, 4.5812695202402285, 4.5812695202402285, -1.7924619689798468e-18, 162.88191574521511, 0,              162.88191574521511, 0,              -3.1873901869090052e-17, 1.3991577310565004e-17, 6,              6,              0,              0.99605943340906422, 0.034389598301532591, -0.077091352034115129, 0.99091454948898516, 0.032520025787383125, -0.12040901924683035, 2.0293253478874231e-12, 2.7210915320489494e-12
  -1.8716962439771577e-17, 43,             3716.4497004290611, 5.6215624680068837e-07, 9.0944237049297656e-19, -4.2184106326813318e-20, 1.8888583813120477e-19, 8.9944984549412776, 8.9944984549412776, 8.9944984549412776, -2.1259877769194488e-18, 101.12493920550949, 0,              101.12493920550949, 0,              -3.1641502902366697e-17, 1.4903826507710178e-17, 7,              7,              0,              0.98879696569895836, 0.065698054852440485, -0.12486268002327433, 0.9734297696723061, 0.058151541137963836, -0.20337090350081932, 2.2383972638521413e-12, 4.9594887959010911e-12
  -1.7326323454881587e-17, 49,             3087.2507713569898, 6.2840002136481747e-07, 1.390638984889986e-18, -6.9476060884349581e-20, 3.4493217048999166e-19, 12.504202689898577, 12.504202689898577, 12.504202689898577, -1.6222881999144696e-18, 47.851799372205974, 0,              47.851799372205974, 0,              -3.139746833905074e-17, 1.5417976974477983e-17, 8,              8,              0,              0.98117088559533461, 0.10594482738881837, -0.14611779861711066, 0.95385214266714191, 0.092997596981096275, -0.25925832131897414, 2.2227025818478742e-12, 7.1821913777489656e-12
  -1.6140457419809488e-17, 55,             2788.7705670031646, 4.094495176889091e-07, 1.185866035072096e-18, -9.4359762336253248e-20, 5.0311296383658834e-19, 14.448101295384069, 14.448101295384069, 14.448101295384069, -8.1659667304196603e-19, 17.17161452750036, 0,              17.17161452750036, 0,              -3.1164441161958426e-17, 1.543182721369057e-17, 9,              9,              0,              0.97388878631120102, 0.14860947403456634, -0.14798187176387687, 0.93466137385221093, 0.13379439648610411, -0.29546362692047079, 2.227779932765162e-12, 9.4099713105141273e-12
  -1.5512640302108496e-17, 61,             2839.8439140777677, 1.6671626129689409e-07, 6.2781711770100136e-19, -1.1804736311049795e-19, 6.4154320948188667e-19, 15.257748026092647, 15.257748026092647, 15.257748026092647, -2.820491271641323e-19, 4.6520744472179079, 0,              4.6520744472179079, 0,              -3.0930278602956109e-17, 1.5176191581640356e-17, 10,             10,             0,              0.96657120634237825, 0.18946462108211176, -0.13880445339407912, 0.9156173873940846, 0.1785606315804503, -0.31983821210529606, 2.2368973730722943e-12, 1.1646868683586422e-11
  -1.5302427888972457e-17, 67,             3046.1084474286963, 3.8344902278469075e-08, 2.1021241313602754e-19, -1.4104142060303337e-19, 7.4673448019317326e-19, 15.678991336651329, 15.678991336651329, 15.678991336651329, -6.7348010433332727e-20, 0.92869915179704254, 0,              0.92869915179704254, 0,              -3.0688827128559543e-17, 1.4848054190430278e-17, 11,             11,             0,              0.95902584776748634, 0.22662078693290297, -0.12376823568352753, 0.89576578159932507, 0.22699395580825707, -0.33692813505287428, 2.273056753885793e-12, 1.3919925437472215e-11
  -1.5271016396434307e-17, 73,             3184.8761874033703, -1.2218408687441532e-09, 3.1411492538154962e-20, -1.6159207324678577e-19, 8.0980304667633026e-19, 16.121193019734854, 16.121193019734854, 16.121193019734854, -1.1887371751412337e-20, 0.14415326710331516, 0,              0.14415326710331516, 0,              -3.045850856165129e-17, 1.4551168563538849e-17, 12,             12,             0,              0.95182839255160279, 0.25769819491180451, -0.10588162003639461, 0.87541910227173991, 0.27689721896936281, -0.34741740327297999, 2.2341613133174429e-12, 1.6154086750789659e-11
  -1.5282895066034577e-17, 85,             3271.107296645675, -8.622943911955583e-09, -1.1878669600275597e-20, -1.7728339945130094e-19, 8.3657474893040788e-19, 16.354141359242366, 16.354141359242366, 16.354141359242366, -1.9409640734278607e-21, 0.021637014454331267, 0,              0.021637014454331267, 0,              -3.0270560560452314e-17, 1.4330315109012059e-17, 13,             13,             0,              0.94595501751413402, 0.28033039134231785, -0.08818463210248749, 0.85650815002683567, 0.3226556344146887, -0.35148031959201692, 1.9940611811679893e-12, 1.8148147931957648e-11
  -1.5299924238242838e-17, 91,             3326.6749723273851, -9.3976352164123506e-09, -1.7029172208251928e-20, -1.8908966408761535e-19, 8.4461971685606829e-19, 16.099116165887526, 16.354141359242366, 16.354141359242366, -2.8982192450673449e-22, 0.00305204398190772, 0,              0.00305204398190772, 0,              -3.0119061327387926e-17, 1.4163896858301142e-17, 14,             14,             0,              0.94122066648087288, 0.29674982387292731, -0.070704256648828651, 0.83830313242454058, 0.36553315193883612, -0.35083123848990688, 1.8517675190857661e-12, 1.9999915451043414e-11
  -1.5316874773162637e-17, 97,             3350.9318088930972, -9.1778852345224434e-09, -1.6950534919801902e-20, -1.9782900966884566e-19, 8.4587942383259182e-19, 15.326493540902463, 16.354141359242366, 16.354141359242366, -3.6381366199234886e-23, 0.00036861895838094099, 0,              0.00036861895838094099, 0,              -2.9996724844959131e-17, 1.4031836038998945e-17, 15,             15,             0,              0.93739765140497289, 0.3084262672543196, -0.052834074491862157, 0.81976362152206561, 0.4076750586426115, -0.3461822520854313, 1.8229156539234505e-12, 2.1822831104966865e-11
  -1.5333733971115071e-17, 103,            3387.1688007025423, -9.05714015231268e-09, -1.6859197952438168e-20, -2.0360953146310625e-19, 8.4827708663000446e-19, 14.255418986644349, 16.354141359242366, 16.354141359242366, -3.5908745553554728e-24, 3.5550400223901875e-05, 0,              3.5550400223901875e-05, 0,              -2.9902586566664729e-17, 1.3924188631257314e-17, 16,             16,             0,              0.93445583020827228, 0.31564997622561886, -0.034302676874718281, 0.80035553842338103, 0.45012594772620307, -0.33743723377545826, 1.8539670646105953e-12, 2.367679816957746e-11
  -1.5350642755487143e-17, 109,            3332.9888126716933, -9.2370948981241569e-09, -1.6908784372074835e-20, -2.0615073119093144e-19, 8.5665727150787803e-19, 13.145963821137896, 16.354141359242366, 16.354141359242366, -2.8841465090672915e-25, 2.832744240509882e-06, 0,              2.832744240509882e-06, 0,              -2.9840004624247525e-17, 1.3838855616858085e-17, 17,             17,             0,              0.93250014450773555, 0.31817054684799173, -0.015729930150478938, 0.78063017313396188, 0.49175049673181626, -0.32464371165580258, 1.8541753762262107e-12, 2.553097354580367e-11
