  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828379536868904e-17, 1,              4682.8827877994572, -4.7218295179152542e-08, 0,              -9.4692865860968694e-22, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828475180046627e-17, 7,              4682.9741459516345, -4.7073450694825605e-08, -9.564317767032862e-23, -9.4418588649980962e-22, 3.7806024110556291e-26, 0.003734203118443771, 0.003734203118443771, 0.003734203118443771, -1.2795985097316359e-18, 199.99997717892708, 0,              199.99997717892708, 0,              -3.1992026169264889e-17, 1.3444093647030373e-17, 1,              1,              0,              0.99975081778952768, 0.019993728995948552, 0.0099273716561237603, 0.99975110354520669, 0.019995478349020455, 0.0098949646936024385, 2.028664912295224e-15, 2.028664912295224e-15
  -1.9828854814430625e-17, 13,             4683.3305843254129, -4.6494098687154808e-08, -3.7963438399288458e-22, -9.3343142864036117e-22, 9.4510640632978035e-25, 0.018668694256003173, 0.018668694256003173, 0.018668694256003173, -1.2792811847049122e-18, 199.99942947395814, 0,              199.99942947395814, 0,              -3.1992117020220989e-17, 1.3443475876817507e-17, 2,              2,              0,              0.99975365688190587, 0.019988825531741847, 0.0096468572837253869, 0.99975502013578466, 0.019997521710602543, 0.0094848222824456836, 8.1146596491808958e-15, 1.0143324561476119e-14
  -1.9830326341313617e-17, 19,             4684.6120193913912, -4.4176761280101188e-08, -1.4715268829919584e-21, -8.9387990438790674e-22, 1.666838169322766e-23, 0.078367832556858613, 0.078367832556858613, 0.078367832556858613, -1.2781577605514139e-18, 199.98993615947785, 0,              199.98993615947785, 0,              -3.1992451126665843e-17, 1.3441159757426336e-17, 3,              3,              0,              0.99976409770830699, 0.01997221999480037, 0.0085248638667153008, 0.99976872254560611, 0.020007894132611857, 0.0078443142143350408, 3.2458638596723583e-14, 4.2601963158199702e-14
  -1.983545949475283e-17, 25,             4687.404002505009, -3.4886557838932911e-08, -5.1331534392044289e-21, -7.9112263800519491e-22, 2.7281959868580423e-22, 0.31643562652440221, 0.31643562652440221, 0.31643562652440221, -1.2759968154944674e-18, 199.83518568545699, 0,              199.83518568545699, 0,              -3.1993319004238823e-17, 1.3434374628019783e-17, 4,              4,              0,              0.99979121888246303, 0.019953893678646552, 0.0040391978671117396, 0.99979211895222941, 0.02008453657276206, 0.0012845832034691115, 1.2983455438689433e-13, 1.7243651754509404e-13
  -1.9843656424108301e-17, 31,             4671.0806667683946, 3.9764678339797877e-09, -8.196929355482753e-21, -1.259887768618779e-21, 4.3622939217345834e-21, 1.2536806754743495, 1.2536806754743495, 1.2536806754743495, -1.3039136325123069e-18, 197.36386980721841, 0,              197.36386980721841, 0,              -3.198935657203558e-17, 1.3446511374286467e-17, 5,              5,              0,              0.99966739287611184, 0.020645775265660707, -0.013784931195908824, 0.9993864337452345, 0.02095060412620792, -0.024833765713625219, 5.1933821754757733e-13, 6.9177473509267137e-13
  -1.9626373931848515e-17, 37,             4432.337750681113, 2.353484407162715e-07, 2.172824922597867e-19, -1.4781644456859129e-20, 6.3502991169752116e-20, 4.5810900519437627, 4.5810900519437627, 4.5810900519437627, -1.7926481597336784e-18, 162.88375510410395, 0,              162.88375510410395, 0,              -3.1873912658033798e-17, 1.3991465539206065e-17, 6,              6,              0,              0.99605977056355643, 0.034392782113767659, -0.077085922185545372, 0.99091524903473749, 0.032526316202736688, -0.12040231230060018, 2.0292419561378339e-12, 2.7210166912305052e-12
  -1.8716857068636933e-17, 43,             3716.5168589604505, 5.6224876419226829e-07, 9.095168632115859e-19, -4.1223469949240072e-20, 1.8886090547003711e-19, 8.9938556323792991, 8.9938556323792991, 8.9938556323792991, -2.126412317943077e-18, 101.13022235553647, 0,              101.13022235553647, 0,              -3.1641536196901565e-17, 1.4903454010686913e-17, 7,              7,              0,              0.98879800615317426, 0.06570774135362431, -0.12485052785469578, 0.97343222334309765, 0.058171003998373841, -0.20335577064555743, 2.2382821371817326e-12, 4.9592988284122378e-12
  -1.7325986105371962e-17, 49,             3087.4187614577108, 6.285462050428262e-07, 1.3908709632649701e-18, -6.7894642818718498e-20, 3.44870035040471e-19, 12.502990272958096, 12.502990272958096, 12.502990272958096, -1.6227230093416196e-18, 47.856846654121462, 0,              47.856846654121462, 0,              -3.1397518969742424e-17, 1.5417280481490328e-17, 8,              8,              0,              0.98117246780445089, 0.10596204636804764, -0.14609728814965561, 0.95385624935491342, 0.093033566710174403, -0.25923398235738282, 2.2226277164146703e-12, 7.1819265448269081e-12
  -1.6139841191344472e-17, 55,             2788.9648324307104, 4.0956727266872805e-07, 1.1861449140274918e-18, -9.2211493581945986e-20, 5.029944231294132e-19, 14.44620626551605, 14.44620626551605, 14.44620626551605, -8.1685588651004965e-19, 17.174460380439488, 0,              17.174460380439488, 0,              -3.1164516053243482e-17, 1.543074781886159e-17, 9,              9,              0,              0.97389112666385891, 0.14863201456106437, -0.14794885810622874, 0.93466728118801734, 0.13384675974629931, -0.29542619815607113, 2.2277271741514785e-12, 9.4096537189783862e-12
