  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828463859277418e-17, 1,              4683.104856946944, -4.7227433590378787e-08, 0,              -1.0312510671206148e-21, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828559516466266e-17, 7,              4683.1962532446814, -4.7082597531382208e-08, -9.5657188797623158e-23, -1.0282642134690314e-21, 3.7802439035450454e-26, 0.0037340260550459557, 0.0037340260550459557, 0.0037340260550459557, -1.2795987630496487e-18, 199.99997718109137, 0,              199.99997718109137, 0,              -3.199202616804075e-17, 1.3444093641035161e-17, 1,              1,              0,              0.99975081775127361, 0.019993732953826556, 0.009927367539451332, 0.99975110349344376, 0.019995482217571095, 0.0098949621131317594, 2.0285687146013069e-15, 2.0285687146013069e-15
  -1.9828939207203095e-17, 13,             4683.5528466941714, -4.6503278595553007e-08, -3.7969073682641735e-22, -1.0165527203105101e-21, 9.4501681495582272e-25, 0.018667809254076847, 0.018667809254076847, 0.018667809254076847, -1.279282434824408e-18, 199.99942952806458, 0,              199.99942952806458, 0,              -3.1992117014098196e-17, 1.3443475849423004e-17, 2,              2,              0,              0.99975365669056848, 0.019988845059506991, 0.009646836702163205, 0.99975501988085691, 0.019997540666637708, 0.0094848093717057672, 8.1142748584052277e-15, 1.0142843573006534e-14
  -1.9830410964293639e-17, 19,             4684.834941934876, -4.418606404292443e-08, -1.4717570905354988e-21, -9.7348172899405605e-22, 1.6666804088639133e-23, 0.078364121825778552, 0.078364121825778552, 0.078364121825778552, -1.2781627341668821e-18, 199.98993711386998, 0,              199.98993711386998, 0,              -3.1992451100908918e-17, 1.3441159685707067e-17, 3,              3,              0,              0.9997640969034034, 0.019972297616140763, 0.0085247774421531638, 0.9997687215398352, 0.020007967250920133, 0.0078442598376343483, 3.2457099433620911e-14, 4.2599943006627448e-14
  -1.983554510834469e-17, 25,             4687.6302012059959, -3.4896242035618372e-08, -5.1341440510542571e-21, -8.615843598431118e-22, 2.7279400885394606e-22, 0.31642077190202317, 0.31642077190202317, 0.31642077190202317, -1.2760124570218043e-18, 199.83520130937524, 0,              199.83520130937524, 0,              -3.199331889888232e-17, 1.3434375037910425e-17, 4,              4,              0,              0.99979121559007234, 0.019954136718984841, 0.004038847552891937, 0.99979211590726857, 0.020084727349309019, 0.0012843599609255825, 1.2982839773448364e-13, 1.7242834074111109e-13
  -1.9843747131385023e-17, 31,             4671.2570805159967, 3.9644295820175695e-09, -8.202023040337177e-21, -1.3721394022375859e-21, 4.3619171954549174e-21, 1.2536288088501661, 1.2536288088501661, 1.2536288088501661, -1.3039051348610722e-18, 197.36411815301463, 0,              197.36411815301463, 0,              -3.1989356100888694e-17, 1.3446524326571526e-17, 5,              5,              0,              0.99966737815277162, 0.020645614737739564, -0.013786395100216035, 0.99938643579808739, 0.020949688316441999, -0.024834755846817994, 5.1931359093793457e-13, 6.9174193167904566e-13
  -1.9626492433625281e-17, 37,             4432.4613358768611, 2.3526611149830825e-07, 2.1725469775974738e-19, -1.6103146947001633e-20, 6.3521236076597936e-20, 4.5817785161844062, 4.5817785161844062, 4.5817785161844062, -1.79193362949944e-18, 162.87669912981167, 0,              162.87669912981167, 0,              -3.1873871268561534e-17, 1.3991894375306095e-17, 6,              6,              0,              0.99605847714254758, 0.034380562855849277, -0.077106752160478048, 0.99091256540790662, 0.032502177172113095, -0.12042803989349851, 2.029561850208674e-12, 2.7213037818877196e-12
  -1.8717261638972471e-17, 43,             3716.2591455919455, 5.6189366951769794e-07, 9.0923079465281341e-19, -4.4909749905409833e-20, 1.8895657370532028e-19, 8.996321985855019, 8.996321985855019, 8.996321985855019, -2.1247831867913203e-18, 101.10995423236078, 0,              101.10995423236078, 0,              -3.1641408477462751e-17, 1.490488320148169e-17, 7,              7,              0,              0.98879401492071106, 0.065670561411427519, -0.12489714414658445, 0.97342281041007528, 0.058096311814832345, -0.2034138144440033, 2.2387238466860998e-12, 4.9600276285738198e-12
  -1.7327281119684889e-17, 49,             3086.7738826067675, 6.279852176892915e-07, 1.389980519287569e-18, -7.396287965746006e-20, 3.4510847582104269e-19, 12.507642423625175, 12.507642423625175, 12.507642423625175, -1.6210546452982778e-18, 47.837484652648129, 0,              47.837484652648129, 0,              -3.1397324797193664e-17, 1.5419952726643469e-17, 8,              8,              0,              0.98116639991230103, 0.10589594756790152, -0.14617596053181664, 0.95384049697939643, 0.092895523796064874, -0.25932732239763018, 2.2229149471448212e-12, 7.182942575718641e-12
  -1.6142206488038481e-17, 55,             2788.2186953149358, 4.0911542903766389e-07, 1.1850746316464145e-18, -1.0045495878489105e-19, 5.0344936283460603e-19, 14.45347837506201, 14.45347837506201, 14.45347837506201, -8.1586136318339983e-19, 17.163544737261368, 0,              17.163544737261368, 0,              -3.1164228920733302e-17, 1.5434889391828504e-17, 9,              9,              0,              0.97388215377291554, 0.1485454665092063, -0.14807548428165979, 0.93464462579526497, 0.13364579252030806, -0.29556972276089466, 2.2279295353596842e-12, 9.4108721110783256e-12
