  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828500625446057e-17, 1,              4683.20168377753, -4.7231418502080171e-08, 0,              -1.068017235760451e-21, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828596288744398e-17, 7,              4683.2930967070251, -4.7086586116601527e-08, -9.5663298282848277e-23, -1.0649239659994434e-21, 3.7800876026759841e-26, 0.0037339488569279144, 0.0037339488569279144, 0.0037339488569279144, -1.2795988734935564e-18, 199.99997718203491, 0,              199.99997718203491, 0,              -3.199202616750703e-17, 1.3444093638421314e-17, 1,              1,              0,              0.99975081773459418, 0.019993734679418545, 0.0099273657446329513, 0.99975110347087592, 0.0199954839042173, 0.009894960988084121, 2.0285267732345834e-15, 2.0285267732345834e-15
  -1.9828976004053587e-17, 13,             4683.6497577705977, -4.6507281600408016e-08, -3.7971530919105646e-22, -1.0527952196010744e-21, 9.4497775521566849e-25, 0.018667423400842903, 0.018667423400842903, 0.018667423400842903, -1.2792829798623363e-18, 199.99942955165372, 0,              199.99942955165372, 0,              -3.1992117011428715e-17, 1.3443475837479308e-17, 2,              2,              0,              0.99975365660714688, 0.019988853573391328, 0.0096468277288464833, 0.9997550197697106, 0.019997548931257766, 0.0094848037428020143, 8.1141070929383335e-15, 1.0142633866172916e-14
  -1.9830447861524666e-17, 19,             4684.9321408501874, -4.4190120613830946e-08, -1.4718574710736123e-21, -1.0081898033634308e-21, 1.6666116289821582e-23, 0.078362503978629983, 0.078362503978629983, 0.078362503978629983, -1.2781649025960345e-18, 199.98993752996259, 0,              199.98993752996259, 0,              -3.1992451089679187e-17, 1.3441159654437627e-17, 3,              3,              0,              0.99976409655247456, 0.019972331457997379, 0.0085247397619178916, 0.99976872110132919, 0.020007999129582406, 0.0078442361300026901, 3.2456428371753334e-14, 4.259906223792625e-14
  -1.9835582437522056e-17, 25,             4687.728828514526, -3.4900464922010481e-08, -5.1345759973967565e-21, -8.9230770098011968e-22, 2.7278285225688815e-22, 0.31641429539902327, 0.31641429539902327, 0.31641429539902327, -1.2760192763325541e-18, 199.83520812103754, 0,              199.83520812103754, 0,              -3.1993318852948687e-17, 1.3434375216607909e-17, 4,              4,              0,              0.99979121415464711, 0.019954242678417417, 0.0040386948174163367, 0.99979211457971262, 0.020084810523605636, 0.0012842626280328995, 1.2982571348701334e-13, 1.7242477572493959e-13
  -1.9843786681572035e-17, 31,             4671.3340016535885, 3.9591802208194185e-09, -8.2042440499844021e-21, -1.4210863488573052e-21, 4.3617529455826936e-21, 1.2536061945585759, 1.2536061945585759, 1.2536061945585759, -1.3039014262509207e-18, 197.36422642605589, 0,              197.36422642605589, 0,              -3.1989355895485221e-17, 1.344652997356738e-17, 5,              5,              0,              0.99966737173391318, 0.020645544690748478, -0.013787033359382342, 0.99938643669362492, 0.020949288994432824, -0.024835187524102437, 5.1930285394805334e-13, 6.9172762967299295e-13
  -1.9626544137206719e-17, 37,             4432.5152043091957, 2.3523017570878396e-07, 2.1724254436531596e-19, -1.6679614323443344e-20, 6.352919133906836e-20, 4.5820786655527046, 4.5820786655527046, 4.5820786655527046, -1.791621882069612e-18, 162.87362298117307, 0,              162.87362298117307, 0,              -3.1873853222633959e-17, 1.3992081390481227e-17, 6,              6,              0,              0.99605791320731063, 0.034375230801581259, -0.077115833676380904, 0.9909113953645533, 0.032491646419159227, -0.12043925535285657, 2.0297013077317106e-12, 2.7214289374047036e-12
  -1.8717438317186359e-17, 43,             3716.1467193261574, 5.6173870239322843e-07, 9.0910582002037143e-19, -4.6517824897634327e-20, 1.8899830170754636e-19, 8.9973975773877815, 8.9973975773877815, 8.9973975773877815, -2.1240724843032685e-18, 101.10111690023631, 0,              101.10111690023631, 0,              -3.1641352798221196e-17, 1.4905506488528193e-17, 7,              7,              0,              0.98879227494441269, 0.065654334165245853, -0.12491746647796007, 0.97341870639282269, 0.058063722954387179, -0.20343911304528539, 2.2389164757252652e-12, 4.9603454131299693e-12
  -1.7327846463835455e-17, 49,             3086.4923578463372, 6.2774046955901431e-07, 1.3895918533508994e-18, -7.660988184509633e-20, 3.4521249697479533e-19, 12.509671594129568, 12.509671594129568, 12.509671594129568, -1.6203269723713373e-18, 47.829043466809736, 0,              47.829043466809736, 0,              -3.1397240189495501e-17, 1.5421118082901685e-17, 8,              8,              0,              0.98116375592173466, 0.10586709291341309, -0.14621025196236226, 0.95383363065211479, 0.092835292172169889, -0.25936799240613428, 2.2230402018451931e-12, 7.1833856149751623e-12
  -1.614323883544095e-17, 55,             2787.8926329610863, 4.0891833815796909e-07, 1.1846076283945064e-18, -1.0405089439489178e-19, 5.0364787299872016e-19, 14.456650919945492, 14.456650919945492, 14.456650919945492, -8.1542765916750705e-19, 17.158787070466197, 0,              17.158787070466197, 0,              -3.1164103876080038e-17, 1.5436695721202766e-17, 9,              9,              0,              0.97387824612750085, 0.14850766691338316, -0.14813067344901071, 0.93463475379436101, 0.13355809696185592, -0.2956322464884778, 2.2280177347458746e-12, 9.411403349721037e-12
