Time,mx,my,mz
0.0,0.0,0.0,1.0
6.383225429599878e-12,1.0562864811567127e-06,3.600961684004119e-07,0.9999999999992683
1e-11,1.4987228888554996e-06,8.276395753010698e-07,0.9999999999984814
1e-11,1.4987228888554996e-06,8.276395753010698e-07,0.9999999999984814
1.3039263142048158e-11,1.676646757774691e-06,9.90950383383395e-07,0.999999999998088
1.615501537506246e-11,1.802902721194417e-06,1.2018483633766307e-06,0.9999999999976508
1.8693606110270794e-11,1.856128607000277e-06,1.3921697239602475e-06,0.999999999997234
2e-11,1.865007619658633e-06,1.492307573877374e-06,0.9999999999971184
2e-11,1.865007619658633e-06,1.492307573877374e-06,0.9999999999971184
2.3213429136567573e-11,1.5888826735837494e-06,1.4842699051156741e-06,0.9999999999975624
2.650453306402611e-11,1.3230000213639902e-06,1.3844537782826798e-06,0.9999999999981096
2.903461006170683e-11,1.1482823414252443e-06,1.25262525543568e-06,0.99999999999845
3e-11,1.0910851137984077e-06,1.1917948119120706e-06,0.9999999999986442
3e-11,1.0910851137984077e-06,1.1917948119120706e-06,0.9999999999986442
3.3206305616959446e-11,6.026935198265549e-07,8.988871910408016e-07,0.9999999999992912
3.6491856843263724e-11,2.1838200827196908e-07,4.604928390604708e-07,0.9999999999998684
3.9023452465778346e-11,2.718638983377053e-08,5.757257644234666e-08,0.9999999999999628
4e-11,-1.9233699187563368e-08,-1.0684437557072279e-07,0.9999999999999528
4e-11,-1.9233699187563368e-08,-1.0684437557072279e-07,0.9999999999999528
4.3035900524853226e-11,-3.5671410561582777e-07,-4.817415796051139e-07,0.999999999999818
4.614518092700562e-11,-5.774963106682365e-07,-9.441961047744951e-07,0.9999999999992732
4.868869821638786e-11,-6.506347123552253e-07,-1.3512044271445948e-06,0.9999999999988038
5e-11,-6.488921757911575e-07,-1.5620056699759913e-06,0.9999999999984716
5e-11,-6.488921757911575e-07,-1.5620056699759913e-06,0.9999999999984716
5.270508028074188e-11,-6.919355448743599e-07,-1.7200070209999962e-06,0.9999999999981564
5.549123562549975e-11,-6.944354975931394e-07,-1.885557437302769e-06,0.9999999999978374
5.826948135088883e-11,-6.545691742064491e-07,-2.042280198524752e-06,0.9999999999975324
6e-11,-6.094603344833465e-07,-2.1308801530679178e-06,0.9999999999973797
6e-11,-6.094603344833465e-07,-2.1308801530679178e-06,0.9999999999973797
6.276798601314003e-11,-4.584934957720388e-07,-1.9575066870699693e-06,0.9999999999977977
6.581497933844352e-11,-3.53028338277431e-07,-1.7312252002694825e-06,0.9999999999982544
6.884480957068917e-11,-3.183761699475698e-07,-1.4905860016382964e-06,0.999999999998686
7e-11,-3.239754964283602e-07,-1.3994222953282947e-06,0.9999999999988252
7e-11,-3.239754964283602e-07,-1.3994222953282947e-06,0.9999999999988252
7.283823341240074e-11,-1.6023034710639373e-07,-9.717666962418305e-07,0.9999999999993442
7.575541119281165e-11,-1.1847681418589331e-07,-5.110123797207575e-07,0.9999999999997788
7.868055759668813e-11,-2.0671150087151465e-07,-6.562465996533771e-08,0.9999999999998892
8e-11,-2.869935542390975e-07,1.1989538819749913e-07,0.9999999999998516
8e-11,-2.869935542390975e-07,1.1989538819749913e-07,0.9999999999998516
8.262532419403698e-11,-2.3061799727849337e-07,4.853014696827253e-07,0.9999999999997732
8.53317095556032e-11,-2.693608158395561e-07,8.580787496605215e-07,0.9999999999994832
8.804440670642832e-11,-4.0352111211049054e-07,1.2019077415080983e-06,0.999999999999011
9.000000000000001e-11,-5.540313453652088e-07,1.4176691260681747e-06,0.9999999999986932
9.000000000000001e-11,-5.540313453652088e-07,1.4176691260681747e-06,0.9999999999986932
9.224948170192826e-11,-5.603912504762179e-07,1.504150927039184e-06,0.9999999999985404
9.457336614295628e-11,-5.858332987676896e-07,1.589292365457877e-06,0.999999999998372
9.68853424571802e-11,-6.29445611791419e-07,1.665701324777821e-06,0.9999999999982164
9.917364073856179e-11,-6.88966487726326e-07,1.7294110496661343e-06,0.9999999999980678
1.0000000000000002e-10,-7.140078271440251e-07,1.7488507946969386e-06,0.9999999999980164
1.0000000000000002e-10,-7.140078271440251e-07,1.7488507946969386e-06,0.9999999999980164
1.0226349593758238e-10,-6.863656525623213e-07,1.5700636025193334e-06,0.9999999999983262
1.0460527485087931e-10,-6.173132907062535e-07,1.4000706075693359e-06,0.9999999999986684
1.0694537970280645e-10,-5.119307597620804e-07,1.2542300329649318e-06,0.9999999999989296
1.0928422248270502e-10,-3.768827617671679e-07,1.1398165170864774e-06,0.9999999999991034
1.1000000000000002e-10,-3.308202349922727e-07,1.1119530842836658e-06,0.9999999999991463
1.1000000000000002e-10,-3.308202349922727e-07,1.1119530842836658e-06,0.9999999999991463
1.121984511041827e-10,-2.2564121265583054e-07,8.163612880096778e-07,0.9999999999995248
1.1446940166401323e-10,-5.3433416330822766e-08,5.47006452036659e-07,0.9999999999997602
1.167309939356982e-10,1.731051660075742e-07,3.2793300373479323e-07,0.9999999999998368
1.1897560771301877e-10,4.405767963964592e-07,1.6921891870402837e-07,0.9999999999997806
1.2000000000000005e-10,5.731267090551542e-07,1.1827741643398016e-07,0.9999999999997276
1.2000000000000005e-10,5.731267090551542e-07,1.1827741643398016e-07,0.9999999999997276
1.2196126629720696e-10,6.803441691461778e-07,-8.202646604022598e-08,0.9999999999996788
1.239864721301134e-10,8.29519408957658e-07,-2.610028435765781e-07,0.999999999999515
1.260058263042943e-10,1.011351169804297e-06,-4.044350836101868e-07,0.9999999999992284
1.280072947810782e-10,1.2171313020790741e-06,-5.066368297615596e-07,0.9999999999989668
1.2949717702746217e-10,1.3821258066088669e-06,-5.545378699965114e-07,0.9999999999987405
1.3000000000000002e-10,1.4393815591105025e-06,-5.650528574199669e-07,0.999999999998642
1.3000000000000002e-10,1.4393815591105025e-06,-5.650528574199669e-07,0.999999999998642
1.3168464635435e-10,1.4518140331511992e-06,-5.965221753266047e-07,0.9999999999985936
1.3341990675517265e-10,1.470300958972281e-06,-6.267142238761297e-07,0.9999999999985416
1.3516647852884614e-10,1.4944667658442258e-06,-6.538204148188522e-07,0.9999999999984794
1.3692613994131007e-10,1.523978205782859e-06,-6.768078111797603e-07,0.999999999998412
1.3869799166597183e-10,1.5582405518435455e-06,-6.946462330384228e-07,0.9999999999983524
1.4e-10,1.5858141710486343e-06,-7.038876630441076e-07,0.9999999999983112
1.4e-10,1.5858141710486343e-06,-7.038876630441076e-07,0.9999999999983112
1.417161663020506e-10,1.4634572695201802e-06,-6.166713401255347e-07,0.9999999999985468
1.43554381648498e-10,1.318159255155116e-06,-5.494090590599866e-07,0.9999999999988424
1.4539717594257302e-10,1.1627348763154459e-06,-5.109243464418593e-07,0.9999999999990472
1.4724428015809023e-10,1.002535762597333e-06,-5.022651092775011e-07,0.9999999999991906
1.4909878902934403e-10,8.427536785077581e-07,-5.234982668728315e-07,0.9999999999993362
