  Oxs_RungeKuttaEvolve:evolve:Total energy (J), Oxs_RungeKuttaEvolve:evolve:Energy calc count, Oxs_RungeKuttaEvolve:evolve:Max dm/dt (deg/ns), Oxs_RungeKuttaEvolve:evolve:dE/dt (J/s), Oxs_RungeKuttaEvolve:evolve:Delta E (J), Oxs_CubicAnisotropy::Energy (J), Oxs_UniformExchange::Energy (J), Oxs_UniformExchange::Max Spin Ang (deg), Oxs_UniformExchange::Stage Max Spin Ang (deg), Oxs_UniformExchange::Run Max Spin Ang (deg), Oxs_ScriptUZeeman::Energy (J), Oxs_ScriptUZeeman::B (mT), Oxs_ScriptUZeeman::Bx (mT), Oxs_ScriptUZeeman::By (mT), Oxs_ScriptUZeeman::Bz (mT), Oxs_FixedZeeman::Energy (J), Oxs_Demag::Energy (J), Oxs_TimeDriver::Iteration, Oxs_TimeDriver::Stage iteration, Oxs_TimeDriver::Stage, Oxs_TimeDriver::mx, Oxs_TimeDriver::my, Oxs_TimeDriver::mz, Oxs_TimeDriver::mx_corner, Oxs_TimeDriver::my_corner, Oxs_TimeDriver::mz_corner, Oxs_TimeDriver::Last time step (s), Oxs_TimeDriver::Simulation time (s)
  -1.9828497028755646e-17, 1,              4683.1922115749212, -4.7231028663279271e-08, 0,              -1.0644205453500322e-21, 0,              0,              0,              0,              -1.2796801199499635e-18, 200,            0,              200,            0,              -3.1992002998750553e-17, 1.3444250510490219e-17, 0,              0,              0,              0.99975009371095891, 0.019995001874219157, 0.0099975009371095786, 0.99975009371095369, 0.019995001874219126, 0.009997500937109563, 0,              0              
  -1.9828592691456296e-17, 7,              4683.2836228774086, -4.7086195918437105e-08, -9.5662700605390723e-23, -1.0613376856443576e-21, 3.7801028925710449e-26, 0.0037339564087868196, 0.0037339564087868196, 0.0037339564087868196, -1.2795988626894667e-18, 199.9999771819426, 0,              199.9999771819426, 0,              -3.1992026167559236e-17, 1.3444093638677022e-17, 1,              1,              0,              0.99975081773622587, 0.019993734510613793, 0.0099273659202095549, 0.99975110347308338, 0.019995483739222383, 0.0098949610981408087, 2.0285308761233234e-15, 2.0285308761233234e-15
  -1.9828972404361632e-17, 13,             4683.6402773266109, -4.6506889991635496e-08, -3.7971290533417355e-22, -1.0492497566323898e-21, 9.4498157617545757e-25, 0.018667461146701404, 0.018667461146701404, 0.018667461146701404, -1.279282926544421e-18, 199.99942954934616, 0,              199.99942954934616, 0,              -3.1992117011689853e-17, 1.3443475838647699e-17, 2,              2,              0,              0.99975365661530768, 0.019988852740527203, 0.0096468286066539437, 0.99975501978058379, 0.019997548122777611, 0.0094848042934442926, 8.1141235044932937e-15, 1.0142654380616618e-14
  -1.9830444252012727e-17, 19,             4684.9226322483109, -4.4189723764922885e-08, -1.4718476510854179e-21, -1.0047944437121774e-21, 1.6666183572701541e-23, 0.078362662243553968, 0.078362662243553968, 0.078362662243553968, -1.2781646904714201e-18, 199.98993748925898, 0,              199.98993748925898, 0,              -3.1992451090777726e-17, 1.3441159657496557e-17, 3,              3,              0,              0.99976409658680354, 0.019972328147448475, 0.0085247434479605467, 0.99976872114422566, 0.020007996011079415, 0.0078442384491835652, 3.2456494017973175e-14, 4.2599148398589793e-14
  -1.983557878575395e-17, 25,             4687.7191801805029, -3.490005180302649e-08, -5.1345337412196558e-21, -8.8930213812528876e-22, 2.7278394363485997e-22, 0.31641492895941237, 0.31641492895941237, 0.31641492895941237, -1.2760186092446053e-18, 199.83520745469701, 0,              199.83520745469701, 0,              -3.1993318857442094e-17, 1.3434375199127243e-17, 4,              4,              0,              0.99979121429506534, 0.019954232313109152, 0.0040387097587114536, 0.99979211470957985, 0.020084802387201204, 0.0012842721495925718, 1.298259760718927e-13, 1.724251244704825e-13
  -1.9843782812529458e-17, 31,             4671.3264767221972, 3.9596937574801922e-09, -8.2040267755190524e-21, -1.416297977368925e-21, 4.3617690132389457e-21, 1.2536084068117641, 1.2536084068117641, 1.2536084068117641, -1.3039017891428041e-18, 197.3642158344075, 0,              197.3642158344075, 0,              -3.1989355915578352e-17, 1.3446529421155827e-17, 5,              5,              0,              0.99966737236182501, 0.020645551544612367, -0.013786970921812762, 0.99938643660600601, 0.020949328058852912, -0.0248351452958629, 5.193039042875708e-13, 6.9172902875805335e-13
  -1.9626539078304112e-17, 37,             4432.5099350090413, 2.3523369221428258e-07, 2.1724373422535143e-19, -1.6623213615644127e-20, 6.3528413106436426e-20, 4.5820493041691908, 4.5820493041691908, 4.5820493041691908, -1.7916523844466253e-18, 162.87392389650591, 0,              162.87392389650591, 0,              -3.1873854987972074e-17, 1.3992063094623797e-17, 6,              6,              0,              0.99605796837412752, 0.034375752529627657, -0.077114945289290832, 0.99091150982299903, 0.032492676754302216, -0.12043815825208747, 2.029687665820298e-12, 2.7214166945783513e-12
  -1.8717421025957387e-17, 43,             3716.1577190853764, 5.6175386595691832e-07, 9.0911805234672053e-19, -4.6360492127900067e-20, 1.8899421922755814e-19, 8.9972923508638285, 8.9972923508638285, 8.9972923508638285, -2.1241420194684686e-18, 101.10198142103091, 0,              101.10198142103091, 0,              -3.164135824485752e-17, 1.4905445511268942e-17, 7,              7,              0,              0.98879244515179687, 0.065655922045640275, -0.12491547851236751, 0.97341910786674757, 0.058066911576380373, -0.20343663844181445, 2.2388976306343851e-12, 4.9603143252127368e-12
  -1.7327791139801801e-17, 49,             3086.5199075495466, 6.2776441624559883e-07, 1.3896298861555861e-18, -7.6350905563385413e-20, 3.4520231948412227e-19, 12.509473068446555, 12.509473068446555, 12.509473068446555, -1.6203981640230466e-18, 47.829869206489583, 0,              47.829869206489583, 0,              -3.1397248464846928e-17, 1.5421004075147438e-17, 8,              8,              0,              0.98116401452646662, 0.10586991657265422, -0.14620689766743108, 0.95383430230358079, 0.092841185530856352, -0.25936401457132124, 2.2230279482171201e-12, 7.183342273429857e-12
  -1.6143137817220243e-17, 55,             2787.9245500032239, 4.0893762088038276e-07, 1.1846533225815654e-18, -1.0369907450399567e-19, 5.0362844956723507e-19, 14.456340514956773, 14.456340514956773, 14.456340514956773, -8.1547008866423004e-19, 17.159252446625722, 0,              17.159252446625722, 0,              -3.116411610466364e-17, 1.5436519001044388e-17, 9,              9,              0,              0.97387862827073834, 0.14851136638978887, -0.14812527510595169, 0.93463571936725631, 0.13356667775306941, -0.2956261315324113, 2.2280091074513696e-12, 9.411351380881227e-12
